title,prices,link
Yenidir Türkiyədən alınıb L razmer dir (M razmer də geyinə bilər),50 AZN,lalafo.az/baku/ads/yenidir-turkiydn-alinib-l-razmer-dir-m-razmer-d-geyin-bilr-id-75890701
Satan ozumem.az islenib.endirim olacag,1 500 AZN,lalafo.az/baku/ads/satan-ozumemaz-islenibendirim-olacag-id-76491119
La Liqa topu satılır.Xaricden hediyye gelib. 100 faiz orginal topdur,100 AZN,lalafo.az/baku/ads/la-liqa-topu-satilirxaricden-hediyye-gelib-100-faiz-orginal-topdur-id-75355534
Memar əcəmi metrosunun yanında vəkil kabinetində ayrıca 1 otaq icarəyə,500 AZN,lalafo.az/baku/ads/memar-cmi-metrosunun-yaninda-vkil-kabinetind-ayrica-1-otaq-icary-id-77748398
Gəncə şəhərində YENİ Mətbəx mebeli satılır. Heç işlənməyib. Giyməti,499 AZN,lalafo.az/gyandzha/ads/gnc-shrind-yeni-mtbx-mebeli-satilir-hec-islnmyib-giymti-id-77137811
Xiaomi Realme 6 Comet Blue 8GB/128GBXiaomi Realme 6 Comet Blue,250 AZN,lalafo.az/baku/ads/xiaomi-realme-6-comet-blue-8gb128gbxiaomi-realme-6-comet-blue-id-75708762
İşlənmiş Xiaomi Redmi Play 2019 64 GB qara,115 AZN,lalafo.az/baku/ads/islnmis-xiaomi-redmi-play-2019-64-gb-qara-id-76824711
İşlənmiş Xiaomi Redmi Note 2 32 GB ağ,25 AZN,lalafo.az/baku/ads/islnmis-xiaomi-redmi-note-2-32-gb-ag-id-77143288
Dərnəgül metrosu ərazisində yerləşən məktəbə mühafizəçi tələb olunur,99 AZN,lalafo.az/baku/ads/drngul-metrosu-razisind-yerlsn-mktb-muhafizci-tlb-olunur-id-77801199
"Samsung Galaxy Tab 3.Plansetin Hec Bir Prablemi:Eziyi,Cizigi,Reng",230 AZN,lalafo.az/baku/ads/samsung-galaxy-tab-3plansetin-hec-bir-prablemieziyicizigireng-id-77802015
Saat satılr.Baha alınıb.Heç.bir problemi yoxdur.Yer olmadığı üçün,259 AZN,lalafo.az/govsany/ads/saat-satilrbaha-alinibhecbir-problemi-yoxduryer-olmadigi-ucun-id-77802111
"Xiaomi redmi note 8 blue 64gb telefon yaxwi veziyyetdedi, acilmiyib",110 AZN,lalafo.az/baku/ads/xiaomi-redmi-note-8-blue-64gb-telefon-yaxwi-veziyyetdedi-acilmiyib-id-77802281
İşlənmiş Xiaomi Note 5A 16 GB boz,1 052 AZN,lalafo.az/baku/ads/islnmis-xiaomi-note-5a-16-gb-boz-id-75382976
Yeni ağ soyuducu Samsung,55 AZN,lalafo.az/baku/ads/yeni-paramtype-ag-soyuducu-samsung-id-77802251
Bewik 55 azn hec bir problemi yoxdur.mamalove firmasinindir.elnen,350 AZN,lalafo.az/baku/ads/bewik-55-azn-hec-bir-problemi-yoxdurmamalove-firmasinindirelnen-id-77802275
İşlənmiş Xiaomi Redmi Note 8 64 GB göy,200 AZN,lalafo.az/baku/ads/islnmis-xiaomi-redmi-note-8-64-gb-goy-id-77792361
İşlənmiş Xiaomi Mi A2 Lite 64 GB qızılı,90 AZN,lalafo.az/dzhejranbatan/ads/islnmis-xiaomi-mi-a2-lite-64-gb-qizili-id-76246520
Birnəfərlik çarpayılar,110 AZN,lalafo.az/baku/ads/birnfrlik-carpayilar-id-77802101
İşlənmiş Xiaomi Redmi 5 16 GB boz,4 AZN,lalafo.az/gyandzha/ads/islnmis-xiaomi-redmi-5-16-gb-boz-id-77034961
